# dc:title,教育部國語辭典簡編本詞庫,
# dc:rights,中華民國教育部（Ministry of Education, R.O.C.）。《國語辭典簡編本》（版本編號：2014_20251229 ）網址： http://dict.concised.moe.edu.tw /,
# dc:license,CC-BY-ND-3.0-TW,
# dc:identifier,2025.12.29,
擺姿勢,1,ㄅㄞˇ ㄗ ㄕˋ
擺在眼前,1,ㄅㄞˇ ㄗㄞˋ ㄧㄢˇ ㄑㄧㄢˊ
擺烏龍,1,ㄅㄞˇ ㄨ ㄌㄨㄥˊ
襬,1,ㄅㄞˇ
拜,1,ㄅㄞˋ
拜把,1,ㄅㄞˋ ㄅㄚˇ
拜拜,1,ㄅㄞˋ ㄅㄞˋ
拜別,1,ㄅㄞˋ ㄅㄧㄝˊ
拜票,1,ㄅㄞˋ ㄆㄧㄠˋ
拜碼頭,1,ㄅㄞˋ ㄇㄚˇ ㄊㄡ˙
拜佛,1,ㄅㄞˋ ㄈㄛˊ
拜訪,1,ㄅㄞˋ ㄈㄤˇ
拜讀,1,ㄅㄞˋ ㄉㄨˊ
拜堂,1,ㄅㄞˋ ㄊㄤˊ
拜天地,1,ㄅㄞˋ ㄊㄧㄢ ㄉㄧˋ
拜託,1,ㄅㄞˋ ㄊㄨㄛ
拜年,1,ㄅㄞˋ ㄋㄧㄢˊ
拜會,1,ㄅㄞˋ ㄏㄨㄟˋ
拜祭,1,ㄅㄞˋ ㄐㄧˋ
